what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860285393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860291440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860295491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860296475
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860300668
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860300719
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401860304431
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860304431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1401860304442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860315121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860315172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860318625
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1401860318671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1401860318671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401860323567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860324961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860333032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860333126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860333705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401860333710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860341217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860341262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860343451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1401860343500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860376344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860376393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860378242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1401860378295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860380882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860380930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860384153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1401860384204
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860385077
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860385137
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1401860391385
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1401860391688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401860400598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860407470
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1401860407644
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401860416222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860427390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860429579
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860430738
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401860430800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401860441589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401860453638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401860455481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401860458802
